23,2,0.3770491803278688,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
24,1,0.39344262295081966,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
24,2,0.39344262295081966,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
25,1,0.4098360655737705,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
25,2,0.4098360655737705,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
26,1,0.4262295081967213,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
26,2,0.4262295081967213,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
27,1,0.4426229508196721,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
27,2,0.4426229508196721,SimpleAgent@7,(Accept  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
agreement,Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel],1.0,0.5329313646202382
