Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.807;101;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;Gahboninho@1078;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1079;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
3.378;86;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;BRAMAgent@1084;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1085;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
1.878;101;;100rounds;No;No;1;0.00000;0.00000;109.252;119.220;0.00000;KLH@1090;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Amsterdam_party2.xml;Amsterdam_party1.xml
2.820;84;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;NiceTitForTat@1094;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1095;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
2.088;84;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;IAMhaggler2011@1100;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1101;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
1.315;84;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;Agent_K2@1104;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1105;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
0.020;2;;100rounds;Yes;No;2;0.97833;0.97833;0.03064;0.03064;195.667;Agent_K2@1122;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1123;0.9783333333333333;0.9783333333333333;0.9783333333333333;0.9783333333333333;0.0;0.9783333333333333;0.0;0.0;0.9783333333333333;0.9783333333333333;Amsterdam_party1.xml;Amsterdam_party1.xml
1.579;100;;100rounds;Yes;No;2;0.65500;0.87250;0.07328;0.17579;152.750;TheNegotiator@1140;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1141;0.6549999999999999;0.8724999999999999;0.6549999999999999;0.8724999999999999;0.0;0.8724999999999999;0.0;0.0;0.6549999999999999;0.8724999999999999;Amsterdam_party1.xml;Amsterdam_party2.xml
1.299;86;;100rounds;Yes;No;2;0.74333;0.92000;0.00000;0.14407;166.333;ValueModelAgent@1146;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1147;0.92;0.7433333333333333;0.92;0.7433333333333333;0.0;0.7433333333333333;0.0;0.0;0.92;0.7433333333333333;Amsterdam_party1.xml;Amsterdam_party2.xml
1.786;100;;100rounds;Yes;No;2;0.53000;100.000;0.00000;0.36752;153.000;Gahboninho@1150;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1151;1.0;0.53;1.0;0.53;0.0;0.53;0.0;0.0;1.0;0.53;Amsterdam_party1.xml;Amsterdam_party2.xml
3.496;90;;100rounds;Yes;No;2;0.74333;0.92000;0.00000;0.14407;166.333;BRAMAgent@1154;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1155;0.92;0.7433333333333333;0.92;0.7433333333333333;0.0;0.7433333333333333;0.0;0.0;0.92;0.7433333333333333;Amsterdam_party1.xml;Amsterdam_party2.xml
1.727;101;;100rounds;Yes;No;2;0.63667;0.96000;0.00000;0.25482;159.667;KLH@1162;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1163;0.96;0.6366666666666666;0.96;0.6366666666666666;0.0;0.6366666666666666;0.0;0.0;0.96;0.6366666666666666;Amsterdam_party1.xml;Amsterdam_party2.xml
1.534;49;;100rounds;Yes;No;2;0.67667;0.94250;0.00000;0.17613;161.917;NiceTitForTat@1166;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1167;0.6766666666666666;0.9425;0.6766666666666666;0.9425;0.0;0.9425;0.0;0.0;0.6766666666666666;0.9425;Amsterdam_party1.xml;Amsterdam_party2.xml
2.519;92;;100rounds;Yes;No;2;0.78500;0.81833;0.05858;0.05858;160.333;IAMhaggler2011@1170;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1171;0.785;0.8183333333333332;0.785;0.8183333333333332;0.0;0.8183333333333332;0.0;0.0;0.785;0.8183333333333332;Amsterdam_party1.xml;Amsterdam_party2.xml
1.331;86;;100rounds;Yes;No;2;0.69667;0.82667;0.09202;0.13649;152.333;Agent_K2@1178;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1179;0.6966666666666667;0.8266666666666667;0.6966666666666667;0.8266666666666667;0.0;0.8266666666666667;0.0;0.0;0.6966666666666667;0.8266666666666667;Amsterdam_party1.xml;Amsterdam_party2.xml
1.493;93;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;TheNegotiator@1182;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1183;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
